// ram_init.data
// 32 locations, 16-bit word width (16 binary bits per word)

0000000000000000    // Address 0x00 (0)
0000000000000001    // Address 0x01 (1)
0000000000000010    // Address 0x02 (2)
0000000000000100    // Address 0x03 (3)
0000000000001000    // Address 0x04 (4)
0000000000010000    // Address 0x05 (5)
0000000000100000    // Address 0x06 (6)
0000000001000000    // Address 0x07 (7)
0000000010000000    // Address 0x08 (8)
0000000100000000    // Address 0x09 (9)
0000001000000000    // Address 0x0A (10)
0000010000000000    // Address 0x0B (11)
0000100000000000    // Address 0x0C (12)
0001000000000000    // Address 0x0D (13)
0010000000000000    // Address 0x0E (14)
0100000000000000    // Address 0x0F (15)
1000000000000000    // Address 0x10 (16)
1010101010101010    // Address 0x11 (17)
0101010101010101    // Address 0x12 (18)
0001001000110100    // Address 0x13 (19)
0101011001111000    // Address 0x14 (20)
1001101010111100    // Address 0x15 (21)
1101111011110000    // Address 0x16 (22)
1111111011101101    // Address 0x17 (23)
1011111011101111    // Address 0x18 (24)
1100101011111110    // Address 0x19 (25)
1101111010101101    // Address 0x1A (26)
0000000011111111    // Address 0x1B (27)
1111111100000000    // Address 0x1C (28)
0000111100001111    // Address 0x1D (29)
1111000011110000    // Address 0x1E (30)
1111111111111111    // Address 0x1F (31)
